month_date_yyyymm,mortgage_rate_30yr_pct
201607,3.44
201608,3.435
201609,3.46
201610,3.47
201611,3.77
201612,4.198
201701,4.15
201702,4.1675
201703,4.196
201704,4.045
201705,4.01
201706,3.904
201707,3.9675
201708,3.88
201709,3.805
201710,3.895
201711,3.922
201712,3.95
201801,4.0325
201802,4.33
201803,4.444
201804,4.4675
201805,4.586
201806,4.57
201807,4.5275
201808,4.55
201809,4.6275
201810,4.83
201811,4.866
201812,4.6375
201901,4.464
201902,4.37
201903,4.265
201904,4.1425
201905,4.072
201906,3.8025
201907,3.765
201908,3.616
201909,3.605
201910,3.688
201911,3.695
201912,3.72
202001,3.624
202002,3.465
202003,3.45
202004,3.306
202005,3.2325
202006,3.1625
202007,3.016
202008,2.935
202009,2.89
202010,2.834
202011,2.765
202012,2.684
202101,2.735
202102,2.81
202103,3.0825
202104,3.06
202105,2.9625
202106,2.975
202107,2.868
202108,2.8425
202109,2.9
202110,3.0675
202111,3.0675
202112,3.098
202201,3.445
202202,3.7625
202203,4.172
202204,4.9825
202205,5.23
202206,5.522
202207,5.4125
202208,5.2225
202209,6.112
202210,6.9
202211,6.805
202212,6.364
202301,6.2725
202302,6.2575
202303,6.544
202304,6.3425
202305,6.425
202306,6.714
202307,6.84
202308,7.072
202309,7.2
202310,7.62
202311,7.442
202312,6.815
202401,6.6425
202402,6.776
202403,6.82
202404,6.9925
202405,7.06
202406,6.9175
202407,6.8475
202408,6.5
202409,6.18
202410,6.428
202411,6.805
202412,6.715
202501,6.958
202502,6.8425
202503,6.65
202504,6.725
202505,6.816
202506,6.8175
202507,6.72
202508,6.5875
202509,6.3525
202510,6.254
202511,6.2375
202512,6.19
202601,6.1025
202602,6.0475
202603,6.1775
202604,6.332
202605,6.4425
202606,6.49
202607,6.542
202608,6.6675
