month_date_yyyymm,median_listing_price,active_listing_count,median_days_on_market,new_listing_count,price_increased_count,price_reduced_count,pending_listing_count,pending_ratio,quality_flag,mortgage_rate_30yr_pct
201607,362450.0,786,56.0,338,44,298,371.0,0.4714,,3.44
201608,336750.0,795,58.0,326,34,308,360.0,0.4525,,3.435
201609,341468.0,783,62.0,246,56,278,315.0,0.4026,,3.46
201610,334950.0,759,65.0,292,60,284,274.0,0.361,,3.47
201611,331950.0,729,71.0,242,44,232,248.0,0.3395,,3.77
201612,329000.0,666,78.0,164,24,120,220.0,0.3303,,4.198
201701,333470.0,619,79.0,288,60,162,212.0,0.3417,,4.15
201702,335122.0,655,52.0,320,120,222,248.0,0.3786,,4.1675
201703,329300.0,686,49.0,364,82,186,278.0,0.4045,,4.196
201704,349900.0,717,47.0,408,88,224,348.0,0.4854,,4.045
201705,348793.0,806,43.0,470,82,316,360.0,0.4463,,4.01
201706,331702.0,891,42.0,408,94,400,366.0,0.4104,,3.904
201707,324945.0,982,46.0,428,76,424,349.0,0.3554,1.0,3.9675
201708,318173.0,986,53.0,364,48,434,313.0,0.3169,0.0,3.88
201709,323019.0,977,63.0,300,68,404,271.0,0.2774,0.0,3.805
201710,319950.0,924,68.0,270,48,366,287.0,0.3101,0.0,3.895
201711,324925.0,868,73.0,282,34,262,297.0,0.3424,0.0,3.922
201712,331250.0,800,80.0,212,52,188,259.0,0.3238,0.0,3.95
201801,331450.0,718,74.0,268,86,188,202.0,0.2813,0.0,4.0325
201802,336473.0,739,60.0,362,100,178,242.0,0.3277,0.0,4.33
201803,339900.0,813,45.0,424,52,268,278.0,0.3419,0.0,4.444
201804,356949.0,819,46.0,416,62,286,322.0,0.3928,0.0,4.4675
201805,357985.0,903,47.0,472,60,320,338.0,0.374,0.0,4.586
201806,365000.0,954,51.0,464,68,388,378.0,0.3962,0.0,4.57
201807,342500.0,1034,50.0,432,56,428,386.0,0.3735,0.0,4.5275
201808,329950.0,1043,52.0,356,36,398,357.0,0.3423,0.0,4.55
201809,329000.0,1037,62.0,332,52,420,330.0,0.3182,0.0,4.6275
201810,314600.0,1026,68.0,308,42,414,273.0,0.2657,0.0,4.83
201811,323700.0,981,69.0,286,68,328,252.0,0.2569,0.0,4.866
201812,325000.0,927,79.0,220,52,236,216.0,0.233,0.0,4.6375
201901,324750.0,884,82.0,308,138,260,208.0,0.2347,0.0,4.464
201902,322205.0,881,72.0,340,94,276,289.0,0.328,0.0,4.37
201903,332281.0,892,61.0,388,112,336,339.0,0.38,0.0,4.265
201904,340577.0,943,51.0,434,98,370,372.0,0.3947,0.0,4.1425
201905,335000.0,966,50.0,486,100,426,400.0,0.4143,0.0,4.072
201906,339900.0,1009,47.0,508,72,404,418.0,0.4143,0.0,3.8025
201907,338313.0,1053,51.0,430,98,498,403.0,0.3827,0.0,3.765
201908,337636.0,1041,55.0,364,104,468,369.0,0.3545,0.0,3.616
201909,336153.0,994,62.0,360,122,442,336.0,0.3377,0.0,3.605
201910,335165.0,961,66.0,362,108,402,312.0,0.3243,0.0,3.688
201911,325407.0,917,66.0,344,80,260,273.0,0.2977,0.0,3.695
201912,324998.0,885,66.0,256,84,202,241.0,0.2723,0.0,3.72
202001,326658.0,841,74.0,336,118,200,229.0,0.2723,0.0,3.624
202002,337000.0,781,70.0,400,112,168,302.0,0.3867,0.0,3.465
202003,340230.0,768,49.0,458,88,202,373.0,0.486,0.0,3.45
202004,340040.0,866,50.0,458,54,222,328.0,0.3788,0.0,3.306
202005,345000.0,916,51.0,508,64,268,387.0,0.4225,0.0,3.2325
202006,350000.0,761,60.0,428,112,236,507.0,0.666,0.0,3.1625
202007,343383.0,684,65.0,490,110,194,478.0,0.6988,0.0,3.016
202008,320000.0,626,44.0,472,240,168,473.0,0.7556,0.0,2.935
202009,334973.0,551,48.0,520,144,132,679.0,1.2325,0.0,2.89
202010,339000.0,508,46.0,368,256,140,837.0,1.6476,0.0,2.834
202011,343252.0,430,52.0,264,134,112,835.0,1.943,0.0,2.765
